Id,HouseStyle,OverallQuality,YearBuilt,BedroomAbvGr,YrSold,SalePrice
1,2Story,7,2003,3,2008,208500
2,1Story,6,1976,3,2007,181500
3,2Story,7,2001,3,2008,223500
4,2Story,7,1915,3,2006,140000
5,2Story,8,2000,4,2008,250000
6,1.5Fin,5,1993,1,2009,143000
7,1Story,8,2004,3,2007,307000
8,2Story,7,1973,3,2009,200000
9,1.5Fin,7,1931,2,2008,129900
10,1.5Unf,5,1939,2,2008,118000
11,1Story,5,1965,3,2008,129500
12,2Story,9,2005,4,2006,345000
13,1Story,5,1962,2,2008,144000
14,1Story,7,2006,3,2007,279500
15,1Story,6,1960,2,2008,157000
16,1.5Unf,7,1929,2,2007,132000
17,1Story,6,1970,2,2010,149000
18,1Story,4,1967,2,2006,90000
19,1Story,5,2004,3,2008,159000
20,1Story,5,1958,3,2009,139000
21,2Story,8,2005,4,2006,325300
22,1.5Unf,7,1930,3,2007,139400
23,1Story,8,2002,3,2008,230000
24,1Story,5,1976,3,2007,129900
25,1Story,5,1968,3,2010,154000
26,1Story,8,2007,3,2009,256300
27,1Story,5,1951,3,2010,134800
28,1Story,8,2007,3,2010,306000
29,1Story,5,1957,2,2006,207500
30,1Story,4,1927,1,2008,68500
31,2Story,4,1920,3,2008,40000
32,1Story,5,1966,3,2008,149350
33,1Story,8,2007,3,2008,179900
34,1Story,5,1959,4,2010,165500
35,1Story,9,2005,2,2007,277500
36,2Story,8,2004,4,2006,309000
37,1Story,5,1994,3,2009,145000
38,1Story,5,1954,3,2009,153000
39,1Story,5,1953,3,2010,109000
40,1Story,4,1955,2,2008,82000
41,1Story,6,1965,3,2006,160000
42,1Story,5,1959,2,2007,170000
43,SFoyer,5,1983,2,2007,144000
44,1Story,5,1975,3,2008,130250
45,1Story,5,1959,3,2006,141000
46,1Story,9,2005,2,2010,319900
47,1.5Fin,7,2003,1,2009,239686
48,1Story,8,2006,3,2007,249700
49,2Story,4,1920,2,2009,113000
50,1Story,5,1966,3,2007,127000
51,2Story,6,1997,3,2007,177000
52,1.5Fin,6,1934,3,2006,114500
53,1Story,5,1963,2,2010,110000
54,1Story,9,1981,0,2006,385000
55,SLvl,5,1955,3,2007,130000
56,1Story,6,1964,3,2008,180500
57,2Story,8,1999,3,2009,172500
58,2Story,7,2004,3,2006,196500
59,2Story,10,2006,3,2006,438780
60,1Story,5,1972,2,2008,124900
61,1Story,6,2004,3,2006,158000
62,2.5Unf,5,1920,3,2007,101000
63,1Story,8,2006,2,2007,202500
64,2Story,7,1921,3,2010,140000
65,2Story,7,1997,3,2009,219500
66,2Story,8,2004,4,2007,317000
67,1Story,7,1970,3,2010,180000
68,1Story,7,2003,3,2007,226000
69,1Story,4,1945,2,2010,80000
70,1.5Fin,7,1953,3,2006,225000
71,1Story,7,1973,3,2007,244000
72,1Story,4,1982,2,2007,129500
73,2Story,7,1998,3,2009,185000
74,1Story,5,1954,3,2010,144900
75,2Story,3,1915,3,2010,107400
76,SLvl,4,1973,2,2009,91000
77,1Story,4,1956,2,2008,135750
78,1.5Fin,5,1948,2,2008,127000
79,1Story,4,1968,4,2010,136500
80,2Story,5,1910,2,2009,110000
81,2Story,6,1968,4,2009,193500
82,1Story,6,1998,2,2006,153500
83,1Story,8,2007,3,2008,245000
84,1Story,5,1960,3,2007,126500
85,SLvl,7,1995,3,2009,168500
86,2Story,8,1991,4,2006,260000
87,2Story,6,2005,3,2009,174000
88,2Story,6,2009,2,2009,164500
89,1.5Fin,3,1915,2,2009,85000
90,1Story,4,1994,3,2007,123600
91,1Story,4,1950,2,2006,109900
92,1Story,5,1961,2,2006,98600
93,1Story,5,1921,2,2009,163500
94,2.5Unf,6,1910,4,2007,133900
95,2Story,6,1997,3,2007,204750
96,2Story,6,1993,3,2009,185000
97,1Story,7,1999,3,2006,214000
98,1Story,4,1965,3,2007,94750
99,1Story,5,1920,2,2010,83000
